frame	time_s	mouse_screen_x	mouse_screen_y	mouse_ray_x	mouse_ray_y	mouse_ray_z	PlayerCapsule_0_pos_x	PlayerCapsule_0_pos_y	PlayerCapsule_0_pos_z	PlayerCapsule_0_q_x	PlayerCapsule_0_q_y	PlayerCapsule_0_q_z	PlayerCapsule_0_q_w	PlayerCapsule_0_eul_x	PlayerCapsule_0_eul_y	PlayerCapsule_0_eul_z	PlayerCapsule_0_hovered	Car1_1_pos_x	Car1_1_pos_y	Car1_1_pos_z	Car1_1_q_x	Car1_1_q_y	Car1_1_q_z	Car1_1_q_w	Car1_1_eul_x	Car1_1_eul_y	Car1_1_eul_z	Car1_1_hovered	Car2_2_pos_x	Car2_2_pos_y	Car2_2_pos_z	Car2_2_q_x	Car2_2_q_y	Car2_2_q_z	Car2_2_q_w	Car2_2_eul_x	Car2_2_eul_y	Car2_2_eul_z	Car2_2_hovered	evt_trial_0	evt_lane_1	evt_car_2	evt_yielding_3	evt_ehmi_4
1	0	1133	278.5834	0.2634035	-0.1347095	0.9552339	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
2	0.02	810	405.8542	-0.01459922	-0.02659564	0.9995397	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
3	0.1034312	810	405.8542	-0.1015334	-0.4180517	0.9027312	0	0	0	0	-0.04797813	0	0.9988484	0	354.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
4	0.1298079	810	405.8542	-0.101304	-0.4173695	0.9030727	0	0	0	0	-0.04797813	0	0.9988484	0	354.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
5	0.1797104	810	405.8542	-0.1012239	-0.4171399	0.9031878	0	0	0	0	-0.04797813	0	0.9988484	0	354.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6	0.1973781	810	405.8542	-0.1010641	-0.4166868	0.9034147	0	0	0	0	-0.04797813	0	0.9988484	0	354.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
7	0.2287114	810	405.8542	-0.1010043	-0.4165207	0.903498	0	0	0	0	-0.04797813	0	0.9988484	0	354.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
8	0.2609431	810	405.8542	-0.1008956	-0.4162215	0.9036481	0	0	0	0	-0.04797813	0	0.9988484	0	354.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
9	0.2921237	810	405.8542	-0.1007794	-0.4159074	0.9038056	0	0	0	0	-0.04797813	0	0.9988484	0	354.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
10	0.3087874	810	405.8542	-0.1006638	-0.4155944	0.9039624	0	0	0	0	-0.04797813	0	0.9988484	0	354.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
11	0.3134759	810	405.8542	-0.1005999	-0.4154243	0.9040477	0	0	0	0	-0.04797813	0	0.9988484	0	354.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
12	0.3173267	810	405.8542	-0.1005822	-0.4153769	0.9040715	0	0	0	0	-0.04797813	0	0.9988484	0	354.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
13	0.3213878	810	405.8542	-0.100567	-0.4153379	0.9040911	0	0	0	0	-0.04797813	0	0.9988484	0	354.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
14	0.3253445	810	405.8542	-0.1005518	-0.4152969	0.9041116	0	0	0	0	-0.04797813	0	0.9988484	0	354.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
15	0.3296843	810	405.8542	-0.1005362	-0.4152557	0.9041322	0	0	0	0	-0.04797813	0	0.9988484	0	354.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
16	0.3340217	810	405.8542	-0.1005195	-0.4152102	0.904155	0	0	0	0	-0.04797813	0	0.9988484	0	354.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
17	0.3391806	810	405.8542	-0.1005026	-0.415166	0.9041772	0	0	0	0	-0.04797813	0	0.9988484	0	354.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
18	0.3439993	810	405.8542	-0.1004821	-0.4151115	0.9042045	0	0	0	0	-0.04797813	0	0.9988484	0	354.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
19	0.3485303	810	405.8542	-0.1004632	-0.4150618	0.9042294	0	0	0	0	-0.04797813	0	0.9988484	0	354.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
20	0.3521782	810	405.8542	-0.1004455	-0.4150158	0.9042525	0	0	0	0	-0.04797813	0	0.9988484	0	354.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
21	0.3559192	810	405.8542	-0.1004311	-0.4149772	0.9042718	0	0	0	0	-0.04797813	0	0.9988484	0	354.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
22	0.3605126	810	405.8542	-0.1004158	-0.4149384	0.9042914	0	0	0	0	-0.04797813	0	0.9988484	0	354.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
23	0.3652354	810	405.8542	-0.100398	-0.4148906	0.9043152	0	0	0	0	-0.04797813	0	0.9988484	0	354.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
24	0.3698115	810	405.8542	-0.1003796	-0.4148403	0.9043403	0	0	0	0	-0.04797813	0	0.9988484	0	354.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
25	0.3743524	810	405.8542	-0.1003605	-0.4147921	0.9043646	0	0	0	0	-0.04797813	0	0.9988484	0	354.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
26	0.3793401	810	405.8542	-0.1003424	-0.4147455	0.904388	0	0	0	0	-0.04797813	0	0.9988484	0	354.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
27	0.3841253	810	405.8542	-0.1003229	-0.4146916	0.9044149	0	0	0	0	-0.04797813	0	0.9988484	0	354.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
28	0.3886957	810	405.8542	-0.1003025	-0.4146419	0.9044398	0	0	0	0	-0.04797813	0	0.9988484	0	354.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
29	0.3929452	810	405.8542	-0.1002844	-0.4145927	0.9044645	0	0	0	0	-0.04797813	0	0.9988484	0	354.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
30	0.3973873	810	405.8542	-0.1002673	-0.4145474	0.9044871	0	0	0	0	-0.04797813	0	0.9988484	0	354.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
31	0.4016626	810	405.8542	-0.1002492	-0.4145017	0.9045101	0	0	0	0	-0.04797813	0	0.9988484	0	354.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
32	0.4063429	810	405.8542	-0.1002321	-0.4144551	0.9045333	0	0	0	0	-0.04797813	0	0.9988484	0	354.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
